Tweet,FINAL LABEL,Tweet_Preprocess,Tweet_New
"@tanyakanrl iya kadang2, cuma gue ga dibolehin tdr lgi. jam segini katanya cocok buat belajar apa yg nnti bakal dipelajarin pas daring, tdr lgi paling pas siang",1.0,"['iya', 'kadang', 'gue', 'ga', 'dibolehin', 'tdr', 'lgi', 'jam', 'gin', 'cocok', 'ajar', 'yg', 'nnti', 'dipelajarin', 'pas', 'daring', 'tdr', 'lgi', 'pas', 'siang']",iya kadang gue ga dibolehin tdr lgi jam gin cocok ajar yg nnti dipelajarin pas daring tdr lgi pas siang
Soch raha hu kuch daring karu phirse. Sehri k begair roza rakh k dekhta hu,0.0,"['soch', 'raha', 'hu', 'kuch', 'daring', 'karu', 'phirse', 'sehri', 'k', 'begair', 'roza', 'rakh', 'k', 'dekhta', 'hu']",soch raha hu kuch daring karu phirse sehri k begair roza rakh k dekhta hu
ga tidur soalnya daringðŸ˜„ðŸ‘ŽðŸ‘ŽðŸ‘Ž,0.0,"['ga', 'tidur', 'daring', '', '', '', '', '', '']",ga tidur daring
"kenapa ga daring selama puasa gitu, gue lemah letih loyO",1.0,"['ga', 'daring', 'puasa', 'gitu', 'gue', 'lemah', 'letih', 'loyo']",ga daring puasa gitu gue lemah letih loyo
ðŸ’š hari ini daring atau ptm?,0.0,"['', '', '', 'daring', 'ptm']",daring ptm
RT @llovhyunie: ni bs ga sekolahnya daring aj gw mau turu lg pls,1.0,"['ni', 'bs', 'ga', 'sekolah', 'daring', 'aj', 'gw', 'turu', 'lg', 'pls']",ni bs ga sekolah daring aj gw turu lg pls
Kenapa sekarang hawanya enak banget buat rebahan santai ðŸ˜­ kenapa tidak daring smkskkss,1.0,"['hawa', 'enak', 'banget', 'rebah', 'santai', '', 'daring', 'smkskkss']",hawa enak banget rebah santai daring smkskkss
yang masih sekolah hari ini daring atau ptm?,0.0,"['sekolah', 'daring', 'ptm']",sekolah daring ptm
"@schfess 7.30 semenjak daring, itupun bener"" belajar jam 7.50an
sebelum itu literasi/baca quran",1.0,"['semenjak', 'daring', 'itu', 'bener', 'ajar', 'jam', 'an', 'literasibaca', 'quran']",semenjak daring itu bener ajar jam an literasibaca quran
"Halo #SobATRBPN Kab Bantul ðŸ™Œ

#Repost @atr_bpn

Kanwil BPN Prov. Sulawesi Barat dan Kantor Pertanahan se-Provinsi Sulawesi Barat mengadakan pencanangan Gerakan Pemuda Peduli Tanah dan Ruang (PETARUNG) Berkelanjutan yg diselenggarakan secara luring dan daring, Rabu (30/03/2022). https://t.co/ipydxGh5aC",0.0,"['halo', 'kab', 'bantul', '', 'bpn', 'kanwil', 'bpn', 'prov', 'sulawesi', 'barat', 'kantor', 'tanah', 'provinsi', 'sulawesi', 'barat', 'ada', 'canang', 'gera', 'pemuda', 'peduli', 'tanah', 'ruang', 'tarung', 'lanjut', 'yg', 'selenggara', 'luring', 'daring', 'rabu']",halo kab bantul bpn kanwil bpn prov sulawesi barat kantor tanah provinsi sulawesi barat ada canang gera pemuda peduli tanah ruang tarung lanjut yg selenggara luring daring rabu
@convomf daring sambil scroll tl twitter,0.0,"['daring', 'scroll', 'tl', 'twitter']",daring scroll tl twitter
"@convomf Nanti jam 8-12 daring, abis tu cuci piring, then rebahan rebahan rebahan",1.0,"['jam', 'daring', 'abis', 'tu', 'cuci', 'piring', 'then', 'rebah', 'rebah', 'rebah']",jam daring abis tu cuci piring then rebah rebah rebah
"Mowrninggg! Semangat buat yg puasa, kerja, sekolah, daring, dan aktivitas lainnya! Jangan lupa pakai masker kalau aktivitas di luar yaaðŸ’™",0.0,"['mowrninggg', 'semangat', 'yg', 'puasa', 'kerja', 'sekolah', 'daring', 'aktivitas', 'lupa', 'pakai', 'masker', 'aktivitas', 'yaa', '', '']",mowrninggg semangat yg puasa kerja sekolah daring aktivitas lupa pakai masker aktivitas yaa
Tidur dulu bentar sebelum daring,0.0,"['tidur', 'bentar', 'daring']",tidur bentar daring
@kobeniyay ikut aja soalny takut daring lg gasiðŸ˜ƒðŸ˜ƒðŸ˜ƒðŸ˜ƒðŸ˜ƒðŸ˜ƒ,-1.0,"['aja', 'soalny', 'takut', 'daring', 'lg', 'gas']",aja soalny takut daring lg gas
[LIVE] Tetelesthai | Doa Pagi Daring | 6 April 2022 https://t.co/U57HYN3IqM,0.0,"['live', 'tetelesthai', 'doa', 'pagi', 'daring', 'april']",live tetelesthai doa pagi daring april
"@imyourkilaa iya, tp daring, mls beudðŸ˜žðŸ˜ž",-1.0,"['iya', 'tp', 'daring', 'mls', 'beud']",iya tp daring mls beud
@convomf Mau ngapain lagi kalo bukan daring,0.0,"['ngapain', 'kalo', 'daring']",ngapain kalo daring
"@Askrlfess jam 6, karena jam 7 daring jadi takut ketinggalan kalo tidur",0.0,"['jam', 'jam', 'daring', 'takut', 'tinggal', 'kalo', 'tidur']",jam jam daring takut tinggal kalo tidur
Buka wa eh ada kabar kelas paginya nnti baca materi aja krn dosen lg sibuk dinas diluar gada daring via zoom/gmeet haha senangnyaaðŸ˜¬,1.0,"['buka', 'wa', 'eh', 'kabar', 'kelas', 'pagi', 'nnti', 'baca', 'materi', 'aja', 'krn', 'dosen', 'lg', 'sibuk', 'dinas', 'luar', 'gada', 'daring', 'via', 'zoomgmeet', 'haha', 'senangnyaa']",buka wa eh kabar kelas pagi nnti baca materi aja krn dosen lg sibuk dinas luar gada daring via zoomgmeet haha senangnyaa
@low_key_aish Sir Masood k lecture may har bar Kuch daring krny liay ! ðŸ˜‚ðŸ¤¡,0.0,"['keyaish', 'sir', 'masood', 'k', 'lecture', 'may', 'har', 'bar', 'kuch', 'daring', 'krny', 'liay', '']",keyaish sir masood k lecture may har bar kuch daring krny liay
"@IaiTabah Rutinan ini sifatnya sunah atau wajib? Sbg dosen baru kok saya merasa tidak pernah mendapatkan informasi, baik itu undangan offline di grup maupun link zoom saat daring??",0.0,"['rutin', 'sifat', 'sunah', 'wajib', 'sbg', 'dosen', 'informasi', 'undang', 'offline', 'grup', 'link', 'zoom', 'daring']",rutin sifat sunah wajib sbg dosen informasi undang offline grup link zoom daring
"@treasmin3 enak banget tapi aku hari ini berniat bolos sih, anws semangat daring ka ikaa &lt;3",1.0,"['enak', 'banget', 'niat', 'bolos', 'sih', 'anws', 'semangat', 'daring', 'ka', 'ikaa', 'lt']",enak banget niat bolos sih anws semangat daring ka ikaa lt
"@convomf ga, daring hari ini hari pertama pts",0.0,"['ga', 'daring', 'pts']",ga daring pts
"@inikalunaa gua minggu ini masih daring sih, kalo mingdep baru ptm dari jam 9 sampe setengah satuðŸ˜­",0.0,"['gua', 'minggu', 'daring', 'sih', 'kalo', 'mingdep', 'ptm', 'jam', 'sampe', 'satu']",gua minggu daring sih kalo mingdep ptm jam sampe satu
"@sunghooneu gue daring wokwok, semangat sekolah dell",1.0,"['gue', 'daring', 'wokwok', 'semangat', 'sekolah', 'dell']",gue daring wokwok semangat sekolah dell
"hm, ak gx tega sbtul nya, tdi mamski ngajak sholat shubuh ke musholla, tpi ak ny pgie ini daring, trs juga mau bobo lagi..sorry mam..",-1.0,"['hm', 'ak', 'gx', 'tega', 'sbtul', 'nya', 'tdi', 'mamski', 'ngajak', 'sholat', 'shubuh', 'musholla', 'tpi', 'ak', 'ny', 'pgie', 'daring', 'trs', 'bobo', 'lagisorry', 'mam']",hm ak gx tega sbtul nya tdi mamski ngajak sholat shubuh musholla tpi ak ny pgie daring trs bobo lagisorry mam
"@xchskyeii sekolah, tpie daring",0.0,"['sekolah', 'tpie', 'daring']",sekolah tpie daring
"RT @kalaloops: daring
â€”â€”â€”
jaehyun one tweet au https://t.co/psATIOut0w",0.0,"['daring', '', '', '', '', '', '', 'jaehyun', 'one', 'tweet', 'au']",daring jaehyun one tweet au
@moonareas aku daring,0.0,['daring'],daring
@shaberryies Aku daringðŸ™‚,0.0,['daring'],daring
"@maaingwelah akibat tahun kemaren daring, skrng jadi kaget lagi sekolah pas puasa",-1.0,"['akibat', 'kemaren', 'daring', 'skrng', 'kaget', 'sekolah', 'pas', 'puasa']",akibat kemaren daring skrng kaget sekolah pas puasa
@jenomiilk engga masih daring,0.0,"['engga', 'daring']",engga daring
"kl daring mah gue gpp, msalah ny offline,,, mles bgt dh",1.0,"['kl', 'daring', 'mah', 'gue', 'gpp', 'msalah', 'ny', 'offline', 'mles', 'bgt', 'dh']",kl daring mah gue gpp msalah ny offline mles bgt dh
@nantijaditeteh kan daring,0.0,['daring'],daring
@drizzleuvre huhu mana daring ntr siangðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,-1.0,"['huhu', 'daring', 'ntr', 'siang']",huhu daring ntr siang
"@collegemenfess Honestly,zuzurly, Iya. Karena mau positif thinking dan coba jd pemberani gmn juga masih ada aja korbannya. Ramadhan ini aku pulang kerumah krn kebetulan mayan deket dr jogja, dan anak kost pun gitu kalo masih daring usahakan pulang. menghindari jogja kota dan sleman pokoknyaðŸ˜­",0.0,"['honestlyzuzurly', 'iya', 'positif', 'thinking', 'coba', 'jd', 'berani', 'gmn', 'aja', 'korban', 'ramadhan', 'pulang', 'rumah', 'krn', 'mayan', 'deket', 'dr', 'jogja', 'anak', 'kost', 'gitu', 'kalo', 'daring', 'usaha', 'pulang', 'hindar', 'jogja', 'kota', 'sleman', 'pokok']",honestlyzuzurly iya positif thinking coba jd berani gmn aja korban ramadhan pulang rumah krn mayan deket dr jogja anak kost gitu kalo daring usaha pulang hindar jogja kota sleman pokok
"aku hari iniii sekola.. PUASA TU DARING AJA KENAPA SI, NGGA PENGERTIAN BANGETðŸ˜ž",1.0,"['iniii', 'kola', 'puasa', 'tu', 'daring', 'aja', 'si', 'ngga', 'erti', 'banget']",iniii kola puasa tu daring aja si ngga erti banget
@IndosatCare serius ini gue ngisi paket tapi samsek ga bisa di pake gimana????? AGHHH mana daring lg ntr siang,-1.0,"['serius', 'gue', 'ngisi', 'paket', 'samsek', 'ga', 'pake', 'gimana', 'aghhh', 'daring', 'lg', 'ntr', 'siang']",serius gue ngisi paket samsek ga pake gimana aghhh daring lg ntr siang
"besok senin dah us, smg daring",1.0,"['besok', 'senin', 'dah', 'us', 'smg', 'daring']",besok senin dah us smg daring
RT @KPU_ID: #TemanPemilih Ketua KPU RI Ilham Saputra bersama Anggota KPU RI Viryan dan secara daring Evi Novida Ginting Manik hadir dalam Sâ€¦,0.0,"['id', 'ketua', 'kpu', 'ri', 'ilham', 'saputra', 'anggota', 'kpu', 'ri', 'viryan', 'daring', 'evi', 'novida', 'ginting', 'manik', 'hadir', 's']",id ketua kpu ri ilham saputra anggota kpu ri viryan daring evi novida ginting manik hadir s
@hoshihao17 Daring yank,0.0,"['daring', 'yank']",daring yank
WTB MULU ANJRIT KRN W SKARANG KULIAH DARING BINGUNG MAU NGAPAIN PDHL TUGAS ADA tp g bahagia vuat affa sobat dahsyat,-1.0,"['wtb', 'mulu', 'anjrit', 'krn', 'w', 'skarang', 'kuliah', 'daring', 'bingung', 'ngapain', 'pdhl', 'tugas', 'tp', 'g', 'bahagia', 'vuat', 'affa', 'sobat', 'dahsyat']",wtb mulu anjrit krn w skarang kuliah daring bingung ngapain pdhl tugas tp g bahagia vuat affa sobat dahsyat
@convomfs tahun lalu daring,0.0,['daring'],daring
"RT @CecepLagi: Saran gw buat #Aksi114, lakukan semua pembicaraan rahasia melalui surat menyurat manual.

Gunakan fasilitas Ojol untuk antarâ€¦",0.0,"['saran', 'gw', 'laku', 'bicara', 'rahasia', 'surat', 'surat', 'manual', 'fasilitas', 'ojol', 'antar']",saran gw laku bicara rahasia surat surat manual fasilitas ojol antar
"@LazadaID 4 Rb
 
Alasan ingin menang karena memang butuh Gadget Baru untuk kegiatan Daring anak. Karena Gadget hanya 1 ini saja dan bergantian terus. #LazadaGiveaway  

Ayo ikut : @Altop_fr
@nisak279 @AmaliyaFebriana

#KasihHatiAja
#RamadanBersamaLazada
#YakinDariHati #LazadaID 

30",0.0,"['rb', 'alas', 'menang', 'butuh', 'gadget', 'giat', 'daring', 'anak', 'gadget', 'ganti', 'ayo', 'fr']",rb alas menang butuh gadget giat daring anak gadget ganti ayo fr
"Ah, mahal.

Mahal mana dg biaya bocornya APBN yg dihambur-hamburkan rezim untuk memperkaya cukong dan koruptor?

Mahal mana bila aksi menyelamatkan bangsa ini menjadi gembos oleh aksi sweeping informasi dan tokoh melalui pembicaraan daring?",0.0,"['ah', 'mahal', 'mahal', 'dg', 'biaya', 'bocor', 'apbn', 'yg', 'dihamburhamburkan', 'rezim', 'kaya', 'cukong', 'koruptor', 'mahal', 'aksi', 'selamat', 'bangsa', 'gembos', 'aksi', 'sweeping', 'informasi', 'tokoh', 'bicara', 'daring']",ah mahal mahal dg biaya bocor apbn yg dihamburhamburkan rezim kaya cukong koruptor mahal aksi selamat bangsa gembos aksi sweeping informasi tokoh bicara daring
"@LazadaID 4 Rb
 
Alasan ingin menang karena memang butuh Gadget Baru untuk kegiatan Daring anak. Karena Gadget hanya 1 ini saja dan bergantian terus. #LazadaGiveaway  

Ayo ikut : @Firgiyawan_egay
@rismaelsa95 @richaadel

#KasihHatiAja
#RamadanBersamaLazada
#YakinDariHati #LazadaID 

11",0.0,"['rb', 'alas', 'menang', 'butuh', 'gadget', 'giat', 'daring', 'anak', 'gadget', 'ganti', 'ayo', 'egay']",rb alas menang butuh gadget giat daring anak gadget ganti ayo egay
"Saran gw buat #Aksi114, lakukan semua pembicaraan rahasia melalui surat menyurat manual.

Gunakan fasilitas Ojol untuk antar-terima surat.

Ingat, rezim memiliki semua perangkat untuk membajak percakan daring kalian!",0.0,"['saran', 'gw', 'laku', 'bicara', 'rahasia', 'surat', 'surat', 'manual', 'fasilitas', 'ojol', 'antarterima', 'surat', 'rezim', 'milik', 'perangkat', 'bajak', 'perca', 'daring']",saran gw laku bicara rahasia surat surat manual fasilitas ojol antarterima surat rezim milik perangkat bajak perca daring
"RT @ridwankamil: Bagi teman-teman yang sedang berada di Yogyakarta, mari bergabung mengikuti talkshow di masjid Kampus UII dan tarawih berjâ€¦",0.0,"['temanteman', 'yogyakarta', 'mari', 'gabung', 'ikut', 'talkshow', 'masjid', 'kampus', 'uii', 'tarawih', 'berj']",temanteman yogyakarta mari gabung ikut talkshow masjid kampus uii tarawih berj
daring poso udan enake kemulanðŸ˜©ðŸ˜©,1.0,"['daring', 'poso', 'udan', 'enake', 'kemul']",daring poso udan enake kemul
"RT @PPDBDKI1: Hallo #sahabatdisdik, yuk simak PPDB jenjang PKBM

Catat waktunya mulai 26 Juli - 1 Agustus 2021 melalui daring (WhatsApp/ SMâ€¦",0.0,"['hallo', 'yuk', 'simak', 'ppdb', 'jenjang', 'pkbm', 'catat', 'juli', 'agustus', 'daring', 'whatsapp', 'sm']",hallo yuk simak ppdb jenjang pkbm catat juli agustus daring whatsapp sm
"@gemhostofficial #haloriah19proofgemhostofficial 
Tg: Ri_daring
Done ðŸµ https://t.co/7HB5ytWpjI",0.0,"['tg', 'ridaring', 'done', '']",tg ridaring done
"@LaCryptoMonkey @CrptoVIPsignal #haloriah19proofLaCryptoMonkey 
Tg: Ri_daring
Done ðŸ¦§ðŸµ https://t.co/nWZQdbcu00",0.0,"['tg', 'ridaring', 'done', '']",tg ridaring done
"@miiauov Sebelum ada pengumuman sanlat, aku ngira kita daring belajar pelajaran seperti biasa bukan sanlat kek gini",0.0,"['umum', 'sanlat', 'ngira', 'daring', 'ajar', 'ajar', 'sanlat', 'kek', 'gin']",umum sanlat ngira daring ajar ajar sanlat kek gin
@__ne_ro Klo daring malah encok,-1.0,"['nero', 'klo', 'daring', 'encok']",nero klo daring encok
@whitefrappegirl au apa ya yg daring judulnyaa,0.0,"['au', 'ya', 'yg', 'daring', 'judulnyaa']",au ya yg daring judulnyaa
"RT @GoSumbarcom: Pendaftaran Mahasiswa Jalur SMMPTN-Barat Dibuka via Daring, Dimulai 1 April-27 Juni 2022 https://t.co/2oCOpWVgXA",0.0,"['daftar', 'mahasiswa', 'jalur', 'smmptnbarat', 'buka', 'via', 'daring', 'april', 'juni']",daftar mahasiswa jalur smmptnbarat buka via daring april juni
"1. Ibadah persekutuan Oikumene Kementerian Hukum dan HAM se 

3. Jhonny H. Gultom selaku Kalapas Palopo Kemenkumham Sulsel pd kesempatan ini menyampaikan, terima kasih atas kepercayaan sbg tuan rumah Ibadah yg diselenggarakan hybbrid, via luring dan daring.
@Kemenkumham_RI",0.0,"['ibadah', 'sekutu', 'oikumene', 'menteri', 'hukum', 'ham', 'jhonny', 'h', 'gultom', 'kalapas', 'palopo', 'kemenkumham', 'sulsel', 'pd', 'sempat', 'terima', 'kasih', 'percaya', 'sbg', 'tuan', 'rumah', 'ibadah', 'yg', 'selenggara', 'hybbrid', 'via', 'luring', 'daring', 'ri']",ibadah sekutu oikumene menteri hukum ham jhonny h gultom kalapas palopo kemenkumham sulsel pd sempat terima kasih percaya sbg tuan rumah ibadah yg selenggara hybbrid via luring daring ri
Walopun onlen yaa ga selalu gabut anjewr apalagi jaman daring begini,0.0,"['walopun', 'onlen', 'yaa', 'ga', 'gabut', 'anjewr', 'jaman', 'daring']",walopun onlen yaa ga gabut anjewr jaman daring
@IamRealSejan @himanshu02_ Or kar daring chodna padega abh twitter â˜ºï¸ https://t.co/Rh0nfqt918,0.0,"['or', 'kar', 'daring', 'chodna', 'padega', 'abh', 'twitter', '']",or kar daring chodna padega abh twitter
"anjeng orgorg yg gue tau, yang seengganya pernah bertukar barang sepatah dua patah kata baik luring maupun daring, suka lewat mulu di tl krn dilike orang",0.0,"['anjeng', 'orgorg', 'yg', 'gue', 'tau', 'seengganya', 'tukar', 'barang', 'patah', 'patah', 'luring', 'daring', 'suka', 'mulu', 'tl', 'krn', 'dilike', 'orang']",anjeng orgorg yg gue tau seengganya tukar barang patah patah luring daring suka mulu tl krn dilike orang
